title,authors,year,journal,citations,abstract,url
Data-driven design-by-analogy: state-of-the-art and future directions,S Jiang,,asmedigitalcollection.asme.org,85,"Abstract Design-by-analogy (DbA) is a design methodology wherein new solutions,opportunities, or designs are generated in a target domain based on inspiration drawn from …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/2/020801/1114347
The meaning of “near” and “far”: the impact of structuring design databases and the effect of distance of analogy on design output,K Fu,,asmedigitalcollection.asme.org,351,This work lends insight into the meaning and impact of “near” and “far” analogies. Acognitive engineering design study is presented that examines the effect of the distance of …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/135/2/021007/375727
Bio-inspired design: an overview investigating open questions from the broader field of design-by-analogy,K Fu,,asmedigitalcollection.asme.org,204,Bio-inspired design and the broader field of design-by-analogy have been the basis ofnumerous innovative designs throughout history; yet there remains much to be understood …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/11/111102/375236
Function based design-by-analogy: a functional vector approach to analogical search,J Murphy,,asmedigitalcollection.asme.org,136,Design-by-analogy is a powerful approach to augment traditional concept generationmethods by expanding the set of generated ideas using similarity relationships from …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/10/101102/375952
Increasing innovation: presentation and evaluation of the wordtree design-by-analogy method,JS Linsey,,asmedigitalcollection.asme.org,166,"Numerous examples of innovation through analogy are found throughout current tradejournals, magazines and product offerings. Design-by-analogy is a powerful tool in creative …",https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2008/21/329328
A quantitative similarity metric for design-by-analogy,DA McAdams,,asmedigitalcollection.asme.org,229,"During the design and development of new products, design engineers use manytechniques to generate and define new and “good” concepts. Inherent in this search for …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/124/2/173/456643
Fundamental studies in Design-by-Analogy: A focus on domain-knowledge experts and applications to transactional design problems,DP Moreno,,Elsevier,202,Highlights•We explored ideation applying Design-by-Analogy (DbA) in transactionalproblems.•First domain-knowledge expert study (n= 73) for a DbA semantic-based ideation …,https://www.sciencedirect.com/science/article/pii/S0142694X1300080X
Design-by-analogy: experimental evaluation of a functional analogy search methodology for concept generation improvement,K Fu,,Springer,148,"Abstract Design-by-analogy is a growing field of study and practice, due to its power toaugment and extend traditional concept generation methods by expanding the set of …",https://link.springer.com/article/10.1007/s00163-014-0186-4
"On the benefits and pitfalls of analogies for innovative design: Ideation performance based on analogical distance, commonness, and modality of examples",J Chan,,2011,388,"Drawing inspiration from examples by analogy can be a powerful tool for innovative designduring conceptual ideation but also carries the risk of negative design outcomes (eg, design …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/133/8/081004/478279
Overcoming design fixation: Design by analogy studies and nonintuitive findings,DP Moreno,,cambridge.org,90,"Design fixation is a phenomenon with important significance to many fields of design due tothe potential negative impacts it may have in design outcomes, especially during the …",https://www.cambridge.org/core/journals/ai-edam/article/overcoming-design-fixation-design-by-analogy-studies-and-nonintuitive-findings/038760839BBBEFC08F146457A77BBE51
