title,authors,year,journal,citations,abstract,url
Data‐driven design for metamaterials and multiscale systems: a review,D Lee,,Wiley Online Library,97,Metamaterials are artificial materials designed to exhibit effective material parameters thatgo beyond those found in nature. Composed of unit cells with rich designability that are …,https://advanced.onlinelibrary.wiley.com/doi/abs/10.1002/adma.202305254
Generative AI in medical practice: in-depth exploration of privacy and security challenges,Y Chen,,jmir.org,175,"As advances in artificial intelligence (AI) continue to transform and revolutionize the field ofmedicine, understanding the potential uses of generative AI in health care becomes …",https://www.jmir.org/2024/1/e53008/
Generative transformers for design concept generation,Q Zhu,,asmedigitalcollection.asme.org,93,"Generating novel and useful concepts is essential during the early design stage to explore alarge variety of design opportunities, which usually requires advanced design thinking ability …",https://asmedigitalcollection.asme.org/computingengineering/article-abstract/23/4/041003/1150228
Biologically inspired design concept generation using generative pre-trained transformers,Q Zhu,,asmedigitalcollection.asme.org,85,Biological systems in nature have evolved for millions of years to adapt and survive theenvironment. Many features they developed can be inspirational and beneficial for solving …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/145/4/041409/1155856
Machine learning to assess and support safe drinking water supply: A systematic review,F Feng,,Elsevier,6,"Drinking water is essential to public health and socioeconomic growth. Therefore, assessingand ensuring drinking water supply is a critical task in modern society. Conventional …",https://www.sciencedirect.com/science/article/pii/S2213343724026125
Understanding inspiration: Insights into how designers discover inspirational stimuli using an AI-enabled platform,E Kwon,,Elsevier,36,Highlights•Think-aloud design exploration task conducted with AI-enabled multi-modalsearch tool.•Framework developed to code search behaviors from transcription and …,https://www.sciencedirect.com/science/article/pii/S0142694X23000431
Engineering knowledge graph from patent database,L Siddharth,,asmedigitalcollection.asme.org,85,"We propose a large, scalable engineering knowledge graph, comprising sets of real-worldengineering “facts” as< entity, relationship, entity> triples that are found in the patent …",https://asmedigitalcollection.asme.org/computingengineering/article-abstract/22/2/021008/1119259
Deep learning for technical document classification,S Jiang,,ieeexplore.ieee.org,72,"In large technology companies, the requirements for managing and organizing technicaldocuments created by engineers and managers have increased dramatically in recent …",https://ieeexplore.ieee.org/abstract/document/9729968/
AskNatureNet: A divergent thinking tool based on bio-inspired design knowledge,L Chen,,Elsevier,13,"Divergent thinking is a process in design by exploring multiple possible solutions, is crucialin the early stages of design to break fixation and expand the design ideation. Design-by …",https://www.sciencedirect.com/science/article/pii/S1474034624002416
Autotriz: Artificial ideation with triz and large language models,S Jiang,,asmedigitalcollection.asme.org,22,"Researchers and innovators have made enormous efforts in developing ideation methods,such as morphological analysis and design-by-analogy, to aid engineering design ideation …",https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2024/1208928
Toward artificial empathy for human-centered design,Q Zhu,,asmedigitalcollection.asme.org,12,"In the early stages of the design process, designers explore opportunities by discoveringunmet needs and developing innovative concepts as potential solutions. From a human …",https://asmedigitalcollection.asme.org/mechanicaldesign/article/146/6/061401/1171651
Exploring the dual potential of artificial intelligence-generated content in the esthetic reproduction and sustainable innovative design of ming-style furniture,Y Wang,,mdpi.com,11,The present research aims to explore the dual potential of artificial intelligence-generatedcontent (AIGC) technology in the esthetic reproduction of Ming-style furniture and its …,https://www.mdpi.com/2071-1050/16/12/5173
Exploring the capabilities of large language models for generating diverse design solutions,K Ma,,arxiv.org,7,"Access to large amounts of diverse design solutions can support designers during the earlystage of the design process. In this paper, we explore the efficacy of large language models …",https://arxiv.org/abs/2405.02345
A knowledge recommendation approach in design for multi-material 4D printing based on semantic similarity vector space model and case-based reasoning,S Dimassi,,Elsevier,17,Abstract 4D printing refers to a breakthrough technology combining additive manufacturing(AM) and smart materials (SMs) under the effect of an energy stimulation. From the …,https://www.sciencedirect.com/science/article/pii/S0166361522002202
A cognitive analysis-based key concepts derivation approach for product design,M Li,,Elsevier,9,"In the development of a new product, concept generation is a crucial stage, as it determinesmuch of the cost of the product lifetime. The process of generating concepts that meet …",https://www.sciencedirect.com/science/article/pii/S0957417423017918
Toward AI assistants that let designers design,S De Peuter,,Wiley Online Library,28,"We need to rethink how we assist designers with artificial intelligence (AI). AI should aim tocooperate, not automate, by supporting and leveraging the creativity and problem‐solving …",https://onlinelibrary.wiley.com/doi/abs/10.1002/aaai.12077
Patent data for engineering design: A critical review and future directions,S Jiang,,asmedigitalcollection.asme.org,26,Patent data have long been used for engineering design research because of its large andexpanding size and widely varying massive amount of design information contained in …,https://asmedigitalcollection.asme.org/computingengineering/article-abstract/22/6/060902/1141588
Enabling multi-modal search for inspirational design stimuli using deep learning,E Kwon,,cambridge.org,20,"Inspirational stimuli are known to be effective in supporting ideation during early-stagedesign. However, prior work has predominantly constrained designers to using text-only …",https://www.cambridge.org/core/journals/ai-edam/article/enabling-multimodal-search-for-inspirational-design-stimuli-using-deep-learning/2F5EA4243AD422EA74EA2B9FDAF8FF05
A knowledge graph-based bio-inspired design approach for knowledge retrieval and reasoning,L Chen,,Taylor & Francis,9,"Bio-inspired Design (BID) is a method that draws principles from biological systems to solvecomplex real-world problems. While diverse knowledge-based tools have served BID, the …",https://www.tandfonline.com/doi/abs/10.1080/09544828.2024.2311065
The climate of innovation: AI's growing influence in weather prediction patents and its future prospects,M Cheon,,mdpi.com,5,"As the severity of climate change intensifies, understanding and predicting weather patternshave become paramount. Major firms worldwide have recognized this urgency, focusing …",https://www.mdpi.com/2071-1050/15/24/16681
Improving selection of analogical inspirations through chunking and recombination,A Srinivasan,,dl.acm.org,5,"Analogies can be a powerful source of new ideas; however, creators often fail to recognizeand harness potentially beneficial analogical leads, especially from other problem domains …",https://dl.acm.org/doi/abs/10.1145/3635636.3656207
A knowledge-based ideation approach for bio-inspired design,L Chen,,cambridge.org,11,"Bio-inspired design (BID) involves generating innovative ideas for engineering design bydrawing inspiration from natural biological phenomena and systems, using a form of design …",https://www.cambridge.org/core/journals/proceedings-of-the-design-society/article/knowledgebased-ideation-approach-for-bioinspired-design/2AEB8876750C88C5DCABC44D6C03211C
"A survey on the challenges hindering the application of data science, digital twins and design automation in engineering practice",S Rädler,,cambridge.org,15,"Digital Engineering is an emerging trend and aims to support engineering design byintegrating computational technologies like design automation, data science, digital twins …",https://www.cambridge.org/core/journals/proceedings-of-the-design-society/article/survey-on-the-challenges-hindering-the-application-of-data-science-digital-twins-and-design-automation-in-engineering-practice/9887B6DCEC80F5411484F8A7B25BFABE
Mapping artificial intelligence-based methods to engineering design stages: A focused literature review,PM Khanolkar,,cambridge.org,10,"Engineering design has proven to be a rich context for applying artificial intelligence (AI)methods, but a categorization of such methods applied in AI-based design research works …",https://www.cambridge.org/core/journals/ai-edam/article/mapping-artificial-intelligencebased-methods-to-engineering-design-stages-a-focused-literature-review/706442DFC0F1213F01997072DFD71A3C
Deep Analogical Generative Design and Evaluation: Integration of Stable Diffusion and LoRA,Y Chen,,asmedigitalcollection.asme.org,3,The rapid evolution of generative design through artificial intelligence has opened newavenues for innovative product styling. Integrating this efficient generative technology with …,https://asmedigitalcollection.asme.org/mechanicaldesign/article/147/5/051403/1207232
From perfume to spirits: Exaptation of a bundle of local resources by an outsider entrepreneur,P Andriani,,Elsevier,0,Exaptation is fundamental to understanding the emergence of novelty in economic systems.Existing research has primarily focused on 'product-first/new market'exaptation of a single …,https://www.sciencedirect.com/science/article/pii/S0048733324001860
Inspired by AI? a novel generative AI system to assist conceptual automotive design,Y Wang,,asmedigitalcollection.asme.org,4,Abstract Design inspiration is crucial for establishing the direction of a design as well asevoking feelings and conveying meanings during the conceptual design process. Many …,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2024/88407/1208961
"Assessing the state of biologically inspired design from three perspectives: academic, public, and practitioners",MG Jastrzembski,,iopscience.iop.org,4,"Biologically inspired design (BID) applies natural solutions to engineering challenges. Dueto the widespread success of BID, we examine the following research question: how does …",https://iopscience.iop.org/article/10.1088/1748-3190/accb31/meta
Technology fitness landscape for design innovation: a deep neural embedding approach based on patent data,S Jiang,,Taylor & Francis,11,Technology is essential to innovation and economic prosperity. Understandingtechnological changes can guide innovators to find new directions of design innovation and …,https://www.tandfonline.com/doi/abs/10.1080/09544828.2022.2143155
Data-driven design-by-analogy: state-of-the-art and future directions,S Jiang,,asmedigitalcollection.asme.org,85,"Abstract Design-by-analogy (DbA) is a design methodology wherein new solutions,opportunities, or designs are generated in a target domain based on inspiration drawn from …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/2/020801/1114347
The meaning of “near” and “far”: the impact of structuring design databases and the effect of distance of analogy on design output,K Fu,,asmedigitalcollection.asme.org,351,This work lends insight into the meaning and impact of “near” and “far” analogies. Acognitive engineering design study is presented that examines the effect of the distance of …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/135/2/021007/375727
Bio-inspired design: an overview investigating open questions from the broader field of design-by-analogy,K Fu,,asmedigitalcollection.asme.org,204,Bio-inspired design and the broader field of design-by-analogy have been the basis ofnumerous innovative designs throughout history; yet there remains much to be understood …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/11/111102/375236
Function based design-by-analogy: a functional vector approach to analogical search,J Murphy,,asmedigitalcollection.asme.org,136,Design-by-analogy is a powerful approach to augment traditional concept generationmethods by expanding the set of generated ideas using similarity relationships from …,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/10/101102/375952
Increasing innovation: presentation and evaluation of the wordtree design-by-analogy method,JS Linsey,,asmedigitalcollection.asme.org,166,"Numerous examples of innovation through analogy are found throughout current tradejournals, magazines and product offerings. Design-by-analogy is a powerful tool in creative …",https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2008/21/329328
A quantitative similarity metric for design-by-analogy,DA McAdams,,asmedigitalcollection.asme.org,229,"During the design and development of new products, design engineers use manytechniques to generate and define new and “good” concepts. Inherent in this search for …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/124/2/173/456643
Fundamental studies in Design-by-Analogy: A focus on domain-knowledge experts and applications to transactional design problems,DP Moreno,,Elsevier,202,Highlights•We explored ideation applying Design-by-Analogy (DbA) in transactionalproblems.•First domain-knowledge expert study (n= 73) for a DbA semantic-based ideation …,https://www.sciencedirect.com/science/article/pii/S0142694X1300080X
Design-by-analogy: experimental evaluation of a functional analogy search methodology for concept generation improvement,K Fu,,Springer,148,"Abstract Design-by-analogy is a growing field of study and practice, due to its power toaugment and extend traditional concept generation methods by expanding the set of …",https://link.springer.com/article/10.1007/s00163-014-0186-4
"On the benefits and pitfalls of analogies for innovative design: Ideation performance based on analogical distance, commonness, and modality of examples",J Chan,,2011,388,"Drawing inspiration from examples by analogy can be a powerful tool for innovative designduring conceptual ideation but also carries the risk of negative design outcomes (eg, design …",https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/133/8/081004/478279
Overcoming design fixation: Design by analogy studies and nonintuitive findings,DP Moreno,,cambridge.org,90,"Design fixation is a phenomenon with important significance to many fields of design due tothe potential negative impacts it may have in design outcomes, especially during the …",https://www.cambridge.org/core/journals/ai-edam/article/overcoming-design-fixation-design-by-analogy-studies-and-nonintuitive-findings/038760839BBBEFC08F146457A77BBE51
Function–behavior–structure paths and their role in analogy-based design,L Qian,,cambridge.org,529,"In many creative design processes, cross-domain knowledge is required to inspire the newdesign result. Thus, in knowledge-based design, how we represent the cross-domain …",https://www.cambridge.org/core/journals/ai-edam/article/functionbehaviorstructure-paths-and-their-role-in-analogybased-design/DA7A02AD92AFD101FB8323E4D18FF6F3
