title,url,authors,year,journal,abstract,citations
Reasoningbyanalogy,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/clqv91&section=29,RA Posner,2005,HeinOnline,"… about the nature of legalreasoning, arguments, and … thatreasoningbyanalogyis theessence of legalreasoningand … who have written aboutreasoning byanalogy, such as Scott …",113
Analogyand analogicalreasoning,https://plato.stanford.edu/entries/reasoning-analogy/?fbclid=IwAR0PyC-AfpV1zqTv0GTa6ChoGilG_ZMkH34l3tLtsAH6bvOI-zojtFPh8uY,P Bartha- 2013,2013,plato.stanford.edu,"… When wereasonbyanalogy, we must determine which features of both domains arerelevant and how they relate to the analogical conclusion. There is no short-cut via syntax. …",517
The development ofreasoningbyanalogy,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203068748-5&type=chapterpdf,U Goswami- The development of thinking andreasoning,2013,api.taylorfrancis.com,"Reasoningbyanalogycan be considered a core component of human cognition.Analogyis important for learning and classification, for thinking and explaining, and forreasoning…",32
Analogicalreasoning: What develops? A review of research and theory,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8624.1991.tb01511.x,U Goswami- Child development,1991,Wiley Online Library,…Analogyis a notoriously difficult term to define. Dejong (1989) … concept lies relationalreasoning:analogiesinvolve reasoning … ability toreasonbyanalogyin problem-solving tasks. The …,429
"[BOOK][B]Mathematics and plausiblereasoning, Volume 1: Induction andanalogyin mathematics",https://books.google.com/books?hl=en&lr=&id=Y83xDwAAQBAJ&oi=fnd&pg=PP1&dq=Analogy+Reasoning&ots=g0JCiB5I4c&sig=3j0nTzmmebxa-QBLxsR4YYX8zbM,G Polya,2020,books.google.com,"… the world involves plausiblereasoning, which is the only kind ofreasoningfor which we …There are two kinds ofreasoning, as we said: demonstrativereasoningand plausiblereasoning. …",2715
The explanatory role of spontaneously generatedanalogiesinreasoningabout physiological concepts,https://www.tandfonline.com/doi/abs/10.1080/0950069960180309,DR Kaufman,1996,Taylor & Francis,"… ' and experts' use ofanalogiesinreasoningabout concepts related to the mechanical …analogiesis critical in the acquisition, progression, and utilization of mental models inreasoning…",97
[BOOK][B]Mental leaps:Analogyin creative thought,https://books.google.com/books?hl=en&lr=&id=8ZRHYv59154C&oi=fnd&pg=PP11&dq=Analogy+Reasoning&ots=tI5AZYktpZ&sig=YmpqP5b-GA9oJOhN77Hh9r5ACuA,KJ Holyoak,1996,books.google.com,"… This small example conveys what we mean byreasoningbyanalogy, or …reasonwhy birdsand people should necessarily organize their habitats in comparable ways. Yet theanalogyis …",3066
On the role ofanalogiesand metaphors in learning science,https://www.researchgate.net/profile/Reinders-Duit/publication/227566389_The_role_of_analogies_and_metaphors_in_learning_science/links/5658713c08ae1ef9297dbdc2/The-role-of-analogies-and-metaphors-in-learning-science.pdf?__cf_chl_rt_tk=eUWUk.h2sKiVre0J5zUAokv3cM5wy1zlEZAf4IVTF2s-1732103402-1.0.1.1-moIik4yG.C3bv.RRsGYMF3kooOsVhefunu_a6LgiOf8,R Duit- Science education,1991,researchgate.net,"… There are several studies indicating thatanalogiesdid not work because ana logicalreasoningdid not happen (cf. Enyeart, 1979; Gilbert, 1989; James, 1983; Nagerl, 1980). Gabel and …",1937
ConceptNet—a practical commonsensereasoningtool-kit,https://link.springer.com/article/10.1023/B:BTTJ.0000047600.45421.6d,H Liu,2004,Springer,"… Secondly, we discuss three basic node-levelreasoningcapabilities persisting from previousversions of ConceptNet — contextual neighbourhoods,analogyand projection. Thirdly, we …",2336
"Case-basedreasoning: Foundational issues, methodological variations, and system approaches",https://journals.sagepub.com/doi/abs/10.3233/AIC-1994-7104,A Aamodt,1994,journals.sagepub.com,"… Research onanalogyreasoningis therefore a subfield concerned with mechanisms foridentification and utilization of cross-domainanalogies[23,30]. The major focus of study has …",9868
