title,url,authors,year,journal,abstract,citations
The computational modeling ofanalogy-making,https://www.cell.com/trends/cognitive-sciences/abstract/S1364-6613(02)01882-X,RM French- Trends in cognitive Sciences,2002,cell.com,Our ability to see a particular object or situation in one context as being ‘the same as' anotherobject or situation in another context is the essence ofanalogy-making. It encompasses …,244
Strategymakingin novel and complex worlds: The power ofanalogy,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.475,G Gavetti,2005,Wiley Online Library,"…makesuch logic work in the context of business strategy. Second, we build a simulation modelof firms that useanalogies… rational choice in the strategy-makingprocess. The imagery is …",1061
Analogyas the core of cognition,https://worrydream.com/refs/Hofstadter_2001_-_Analogy_as_the_Core_of_Cognition.pdf,DR Hofstadter - The analogical mind: Perspectives from cognitive …,2001,worrydream.com,"… Once upon a time, I was invited to speak at ananalogy… the importance and centrality ofanalogy-makingin cognition. One … One should not think ofanalogy-makingas a special variety …",929
Analogyas structure and process,https://www.torrossa.com/gs/resourceProxy?an=5001684&publisher=FZ4850,E Itkonen,2005,torrossa.com,"… Therefore, although I shallmakeseveral references to howanalogyhas been defined in thepast, I shall forsake to offer a systematic account of this issue. Yet, just to give an idea of the …",437
Analogyin decisionmaking,https://pubsonline.informs.org/doi/abs/10.1287/moor.2014.0709,M Amarante - Mathematics of Operations Research,2015,pubsonline.informs.org,"… ofanalogyas a process of human thinking, a theory ofanalogyshould rest …makingassumptions requiring that certain mappings (utilities, preference functionals, aggregator ofanalogies…",4
[BOOK][B]Mental leaps:Analogyin creative thought,https://books.google.com/books?hl=en&lr=&id=8ZRHYv59154C&oi=fnd&pg=PP11&dq=analogy+making&ots=tI5A3PmymS&sig=aRVHC20CMHYDF0aWSZlHtEGaaO8,KJ Holyoak,1996,books.google.com,"… We also describe other computer models thatmakeuse ofanalogies, a topic that in artificialintelligence is often called case-based reasoning (that is, reasoning from past cases when …",3069
"Enhancing mental models, analogical transfer, and performance in strategic decisionmaking",https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.1979,MS Gary,2012,Wiley Online Library,"… However, there has been very little attention given thus far to understanding how andwhen managers canmakeeffective use ofanalogiesdrawn from their existing mental models …",184
Analogical learning,https://books.google.com/books?hl=en&lr=&id=6lNZNzZs03oC&oi=fnd&pg=PA199&dq=analogy+making&ots=Aohedn5Z0s&sig=s65IQXDtWF-orRAVb1fCUlFDeuU,D Gentner- Similarity and analogical reasoning,1989,books.google.com,"… But what happens if wemakeit harder for people to perform according to the rules? Giventhat the ideal inanalogyis to discover the maximal common higher-order relational structure , …",2430
Structure mapping inanalogyand similarity.,https://psycnet.apa.org/record/1997-02239-006,D Gentner,1997,psycnet.apa.org,"… As the above discussion shows, to capture the process ofanalogy, we mustmakeassumptionsnot only about the processes of comparison, but about the nature of typical conceptual …",3014
Warmakingand statemakingas organized crime,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315205021-8/war-making-state-making-organized-crime-charles-tilly,C Tilly - Collective violence,2017,taylorfrancis.com,"… , then warmakingand statemaking—quintessential protection … to urge the value of thatanalogy. At least for the European … illustrate theanalogyof warmakingand statemakingwith …",6770
ConceptNet—a practical commonsense reasoning tool-kit,https://link.springer.com/article/10.1023/B:BTTJ.0000047600.45421.6d,H Liu,2004,Springer,"… In contrast, Hofstadter and Mitchell’s ‘slipnets’ [20] project emphasises semantic similaritiesand employs connectionist notions of conceptual distance and activation tomakeanalogy…",2337
Imageanalogies,https://dl.acm.org/doi/abs/10.1145/3596711.3596770,A Hertzmann,2023,dl.acm.org,"… Moreover, it should be possible to generalize the framework we have described tomakeuse ofanalogiesbetween data in completely different domains. As a whimsical example, A …",2434
[BOOK][B]Makingmeaning: Inference and rhetoric in the interpretation of cinema,https://books.google.com/books?hl=en&lr=&id=cIJs1s8xkTUC&oi=fnd&pg=PR11&dq=analogy+making&ots=dXq1a2E4jD&sig=0Y4kgJI7RFQb520ZVq-yoOb1nR0,D Bordwell,1991,books.google.com,… theories of cinema do assist many critics inmakingmeaning. But we must ask how this …Thismakesthe interpretation roughlyanalogousto the scientific experiment that tests a …,2221
Structure-mapping: A theoretical framework foranalogy,https://www.sciencedirect.com/science/article/pii/S0364021383800093,D Gentner- Cognitive science,1983,Elsevier,"… theanalogy3:6::2:4 better or more apt than theanalogy3:6:: … cannot provide an adequateaccount ofanalogy, nor, therefore, … The same interdependencies hold for the atom, if wemake…",9027
Generalized fisheye views,https://dl.acm.org/doi/abs/10.1145/22339.22342,GW Furnas- Acm Sigchi Bulletin,1986,dl.acm.org,"… on a Zoom Lensanalogy--makingavailable both a global … viewing strategy, based on ananalogyto a very wide angle, or “… in the Rocky Mountains, does itmakemore sense to connect …",3409
[BOOK][B]Introduction to cosmology,https://books.google.com/books?hl=en&lr=&id=k8WSDQAAQBAJ&oi=fnd&pg=PA1&dq=analogy+making&ots=G9HHU06mqS&sig=ABHu2PNuuJzSbPXdE0bRiDe_RhE,B Ryden,2016,books.google.com,"… Its clear, lucid writing style, with a wealth of useful everydayanalogies,makesit … energy,and a new chapter on baryonic matter thatmakesup stars and galaxies. It is an ideal textbook …",1359
[BOOK][B]Mimesis asmake-believe: On the foundations of the representational arts,https://books.google.com/books?hl=en&lr=&id=GagvEAAAQBAJ&oi=fnd&pg=PP15&dq=analogy+making&ots=Vt3Zw80xDv&sig=EJIK_tdMncC5FTKosDv-AnSFcLM,KL Walton,1993,books.google.com,"… We can learn a lot about novels, paintings, theater, and film by pursuinganalogieswithmake-believe activities like these. This suggestion is hardly a daring innovation; nor was it when …",5727
Mendelian randomization: using genes as instruments formakingcausal inferences in epidemiology,https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.3034,DA Lawlor,2008,Wiley Online Library,"… Nonetheless, as pointed out previously [1], whenmakinganalogiesbetween Mendelianrandomization studies and RCTs, it should be born in mind that in RCTs individuals are usually …",4232
The end of theory: The data delugemakesthe scientific method obsolete,http://statlit.org/pdf/2008EndOfTheory-DataDelugeMakesScientificMethodObsolete-WiredMagazine.pdf,C Anderson - Wired magazine,2008,statlit.org,"… As we moved along that progression, we went from the folderanalogyto the file cabinetanalogyto the libraryanalogyto — well, at petabytes we ran out of organizationalanalogies. …",4113
The structure-mapping engine: Algorithm and examples,https://www.sciencedirect.com/science/article/pii/0004370289900775,B Falkenhainer,1989,Elsevier,"… ensure that theanalogyat leastmakessense, and may require additional inferential workto refine the results. The third criterion is relevance, ie, whether or not theanalogyis useful to …",2584
[BOOK][B]Things thatmakeus smart: Defending human attributes in the age of the machine,https://books.google.com/books?hl=en&lr=&id=yPKkBQAAQBAJ&oi=fnd&pg=PT8&dq=analogy+making&ots=J1iD-q9z3O&sig=psmQqnhwXHymgpTBgxWjTfT4N-w,D Norman- 2014,2014,books.google.com,"By the author of THE DESIGN OF EVERYDAY THINGS. Insightful and whimsical, profoundlyintelligent and easily accessible, Don Norman has been exploring the design of our world …",5369
[BOOK][B]The creative mind: Myths and mechanisms,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203508527&type=googlepdf,MA Boden,2004,api.taylorfrancis.com,"… do in this situation – ismakea distinction between ‘…makingunfamiliar combinations offamiliar ideas. Examples include poetic imagery, collage in painting or textile art, andanalogies. …",7303
Decision-makingin the physician–patient encounter: revisiting the shared treatment decision-makingmodel,https://www.sciencedirect.com/science/article/pii/S0277953699001458,C Charles,1999,Elsevier,In this paper we revisit and add elements to our earlier conceptual framework on sharedtreatment decision-makingwithin the context of different decision-makingapproaches in the …,3246
Resilience and vulnerability: Adaptation in the context of childhood adversities,https://psychiatryonline.org/doi/full/10.1176/appi.ajp.162.8.1553-a,A Martin,2005,psychiatryonline.org,"… Although subtle, the distinction is crucial: it reveals the shortcomings of the resilience-as-leukocyteanalogy,makingit clear that children are not neatly quantifiable along some …",2047
Conceptual integration networks,https://www.sciencedirect.com/science/article/pii/S036402139980038X,G Fauconnier,1998,Elsevier,"… cognitive operation on a par withanalogy, recursion, … The situation that we devised tomakethe solution transparent is a fantastic one. The monk cannot bemakingthe two journeys …",4210
Blurred genres: The refiguration of social thought,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003282969-4/blurred-genres-clifford-geertz,C Geertz - The Performance Studies Reader,2025,taylorfrancis.com,… to take the dramaanalogyseriously is to probe behind such familiar ironies to the expressivedevices thatmakecollective life seem anything at all. The trouble withanalogies—it is also …,1887
[BOOK][B]Foundations of corporate success: how business strategies add value,https://books.google.com/books?hl=en&lr=&id=WhLCD4s8klIC&oi=fnd&pg=PA3&dq=analogy+making&ots=X-aWACIMIv&sig=QOHSVcTkU09ACNc-Nu-GOMvUJ58,J Kay,1995,books.google.com,"… Yet, as theanalogymakesclear, we can learn a great deal once we recognize the limitationsof our knowledge. If we do not know what the weather will be like ten years hence, we …",3002
"The faculty of language: what is it, who has it, and how did it evolve?",https://www.science.org/doi/abs/10.1126/science.298.5598.1569,MD Hauser,2002,science.org,"… Wemakeno attempt to be comprehensive in our coverage of … Rather, we focus on topics thatmakeimportant contact between … Ananalogymaymakethis distinction clear. The trunk and …",7856
