title,url,authors,year,journal,abstract,citations
Data-drivendesign-by-analogy: state-of-the-art and future directions,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/2/020801/1114347,S Jiang,2022.0,asmedigitalcollection.asme.org,"… titled “Identifying Candidates forDesign-by-Analogy” [30], we … “designbyanalogyandlearning” system (IDEAL) [57]. Such newly identified studies directly referencedesign-by-analogy…",85
Identifying candidates fordesign-by-analogy,https://www.sciencedirect.com/science/article/pii/S016636151000179X,PA Verhaegen,2011.0,Elsevier,… Only cross-domaindesign-by-analogyis characterized by little or no attributional similarity …considered within domaindesign-by-analogy. The termdesign-by-analogycould therefore be …,114
Bio-inspired design: an overview investigating open questions from the broader field ofdesign-by-analogy,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/11/111102/375236,K Fu,2014.0,asmedigitalcollection.asme.org,… unify the broaderdesign-by-analogyresearch literature with … research from the largerdesign-by-analogyperspective. We … with current findings indesign-by-analogycognition work and …,204
Design by analogy: A study of the WordTree method for problem re-representation,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/134/4/041009/475511,JS Linsey,2012.0,asmedigitalcollection.asme.org,"… This paper presents a new method for increasing engineering innovation throughdesign-by-analogy. …Next, the WordTreedesign-by-analogymethod is presented along with the guiding …",267
A quantitative similarity metric fordesign-by-analogy,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/124/2/173/456643,DA McAdams,2002.0,asmedigitalcollection.asme.org,"… todesign-by-analogytechniques. The majority of successfuldesign-by-analogyefforts in …As pointed out by Huhns 5, to developdesign-by-analogysystems, an analytical similarity …",229
Design-by-analogy: experimental evaluation of a functional analogy search methodology for concept generation improvement,https://link.springer.com/article/10.1007/s00163-014-0186-4,K Fu,2015.0,Springer,"…Design-by-analogyhas been shown to be an effective means in achieving innovation and… their roles indesign-by-analogy. The related works indesign-by-analogywill be discussed, …",148
The impact of designers' goals ondesign-by-analogy,https://www.sciencedirect.com/science/article/pii/S0142694X17300261,L Alipour,2017.0,Elsevier,… Selection of source is an important step indesign-by-analogy. The aim of this study is to …Participants consist of 130 architecture students involved in adesign-by-analogypractice. The …,41
Increasing innovation: presentation and evaluation of the wordtreedesign-by-analogymethod,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2008/21/329328,JS Linsey,2008.0,asmedigitalcollection.asme.org,"…Design-by-analogyis a powerful tool in creative design, but … to as the WordTreeDesign-by-AnalogyMethod, for identifying … in assisting engineers indesign-by-analogy. Unexpected and …",166
Wordtrees: A method fordesign by analogy,https://peer.asee.org/wordtrees-a-method-for-design-by-analogy,J Linsey,2008.0,peer.asee.org,"… FormalDesign-by-AnalogyMethods Currently, few formal methods exist to supportdesign-by-analogy. Most methods either provide little guidance on identifying the analogies or …",62
Design-by-analogy: Effects of exploration-based approach on analogical retrievals and design outcomes,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/144/6/061401/1133488,H Song,2022.0,asmedigitalcollection.asme.org,"This paper presents VISION (Visual Interaction tool for Seeking Inspiration based onNonnegative Matrix Factorization), a computationaldesign-by-analogy(DbA) tool that enables …",18
Function baseddesign-by-analogy: a functional vector approach to analogical search,https://asmedigitalcollection.asme.org/mechanicaldesign/article-abstract/136/10/101102/375952,J Murphy,2014.0,asmedigitalcollection.asme.org,…Design-by-analogyis a powerful approach to augment … While the concept ofdesign-by-analogyhas been known for … provides relevant sources ofdesign-by-analogyinspiration. As a …,136
