title,url,authors,year,journal,abstract,citations
[BOOK][B]Case-based reasoning,https://books.google.com/books?hl=en&lr=&id=3qyjBQAAQBAJ&oi=fnd&pg=PP1&dq=case-based+reasoning&ots=QQuy_AUZ4G&sig=eO3Q7pLzt49BI471HFMgg_ow9MI,J Kolodner- 2014,2014,books.google.com,"… be easier in acase-basedparadigm. And, if we understand humanreasoningwell enoughto … super-housewife robot, I believecase-basedreasoningprovides the basis for a cognitive …",7911
Case-based reasoning: A review,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/casebased-reasoning-a-review/6A1974F0B7242E5785A9330813BE6CF2,I Watson,1994,cambridge.org,"Case-BasedReasoning(CBR) is a relatively recent problem solving technique that isattracting increasing attention. However, the number of people with first-hand theoretical or …",1230
An introduction tocase-based reasoning,https://link.springer.com/article/10.1007/BF00155578,JL Kolodner- Artificial intelligence review,1992,Springer,… involved incase-basedreasoningand the tasks for whichcase-basedreasoningis useful. …Any programs we write to automatically docase-basedreasoningwill need to be seeded with …,1599
[BOOK][B]Case-based reasoning,https://link.springer.com/content/pdf/10.1007/978-3-642-40167-1.pdf,MM Richter,2016,Springer,A statement of George Bernhard Shaw is essentially this:“The wisdom of a person is notmeasured by the number of experiences but rather by the ability to make use of them”. This …,584
Case‐based reasoning: an overview,https://journals.sagepub.com/doi/abs/10.3233/EAI-1997-106,RL De Mantaras,1997,journals.sagepub.com,… of Sharma and Sleeman on acase-basedaide for knowledge … de Mantaras on acase-basedlearning apprentice capable of …case-basedreasoning[1] and that of Faltings incasebased…,193
A tutorial introduction tocase-based reasoning,https://cs.indiana.edu/ftp/leake/cbr_tutorial.ps.Z,JL Kolodner,1996,cs.indiana.edu,"…Case-basedreasoningmeansreasoningbased on previous cases or experiences. Acase-basedreasoner uses remembered cases to suggest a means of solving a new problem, to …",220
[BOOK][B]Insidecase-based reasoning,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203781821&type=googlepdf,CK Riesbeck,2013,api.taylorfrancis.com,"… dynamic memory andcase-basedreasoning, followed by extended descriptions of four majorprogramming efforts conducted in the past few years at Yale oncase-basedreasoningand …",2819
[BOOK][B]Case-based reasoningin design,https://www.taylorfrancis.com/books/mono/10.4324/9781315806174/case-based-reasoning-design-mary-lou-maher-bala-balachandran-dong-mei-zhang,ML Maher,2014,taylorfrancis.com,… in usingcase-basedreasoningin design. Chapter 1 is an overview ofcase-basedreasoning…This chapter introduces the authors' bias on the definition ofcase-basedreasoningand …,448
Case-based reasoning: A research paradigm,https://ojs.aaai.org/aimagazine/index.php/aimagazine/article/view/883,S Slade - AI magazine,1991,ojs.aaai.org,"… er implementations ofcase-basedreasoningaddress many of … In this article, I review thehistory ofcase-basedreasoning, … the basic process ofcase-basedreasoningand learning. …",601
Case-based reasoning,https://www.worldscientific.com/doi/abs/10.1142/9789812389718_0023,KD Althoff- Handbook of Software Engineering and Knowledge …,2001,World Scientific,"… Finally, in this section, somecase-basedreasoningmethods are introduced for differentkinds of application tasks, namely classification, diagnosis, decision support, and knowledge …",165
"[BOOK][B]Case-Based Reasoning: Experiences, lessons and future directions",https://dl.acm.org/doi/abs/10.5555/524680,DB Leake- 1996,1996,dl.acm.org,"… With the limitation of low predictive performance and poor reliability in currentcase-basedreasoningmethod, this paper proposes acase-basedreasoningalgorithm based on …",1432
Case based reasoning,https://ieeexplore.ieee.org/abstract/document/464654/,LD Xu- IEEE potentials,1994,ieeexplore.ieee.org,"…reasoning. However, in tasks such as design, diagnosis, planning, management and assessmentwe often observe a different type ofreasoning. An … to fit the currentcasebasedon the …",98
The omnipresence ofcase-based reasoningin science and application,https://www.sciencedirect.com/science/article/pii/S0950705198000665,DW Aha- Knowledge-based systems,1998,Elsevier,"… This paper briefly presented an argument thatcase-basedreasoning(CBR) research isnot alone in the universe. Rather, the lazy problem-solving model that underlies the CBR …",251
Fromcase-based reasoningto problem-based learning,https://journals.lww.com/academicmedicine/fulltext/2003/05000/From_Case_based_Reasoning_to_Problem_based.00011.aspx,H Eshach,2003,journals.lww.com,… whether PBL best matches the humanreasoningprocess. The authors' theoretical discussionexamines the relationship between thecase-basedreasoning(CBR) model and the PBL …,194
